sheet,header_row,column,name,range,type_inferred,source,formula_cells,literal_cells,example_formula,example_cell,example_cached,number_format
Motor_Meciuri,5,AG,Effective_H_S_Against,AG6:AG105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R6=""CLOSED"",'Core_Nativ'!S6=0),IF('Core_Nativ'!M6>='Core_Nativ'!P6,'Core_Nativ'!O6,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T12=""DERIVED"",'Core_Nativ'!M12>='Core_Nativ'!P6),MIN(1,'Core_Nativ'!M6/'Core_Nativ'!P6)*IF('Core_Nativ'!M6=0,0,'Core_Nativ'!O6)+(1-MIN(1,'Core_Nativ'!M6/'Core_Nativ'!P6))*'Core_Nativ'!O12,"""")),""""))",AG6,4.864864864864865,0.00
Motor_Meciuri,5,AH,Effective_H_HA_For,AH6:AH105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R7=""CLOSED"",'Core_Nativ'!S7=0),IF('Core_Nativ'!M7>='Core_Nativ'!P7,'Core_Nativ'!N7,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T13=""DERIVED"",'Core_Nativ'!M13>='Core_Nativ'!P7),MIN(1,'Core_Nativ'!M7/'Core_Nativ'!P7)*IF('Core_Nativ'!M7=0,0,'Core_Nativ'!N7)+(1-MIN(1,'Core_Nativ'!M7/'Core_Nativ'!P7))*'Core_Nativ'!N13,"""")),""""))",AH6,5.222222222222222,0.00
Motor_Meciuri,5,AI,Effective_H_HA_Against,AI6:AI105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R7=""CLOSED"",'Core_Nativ'!S7=0),IF('Core_Nativ'!M7>='Core_Nativ'!P7,'Core_Nativ'!O7,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T13=""DERIVED"",'Core_Nativ'!M13>='Core_Nativ'!P7),MIN(1,'Core_Nativ'!M7/'Core_Nativ'!P7)*IF('Core_Nativ'!M7=0,0,'Core_Nativ'!O7)+(1-MIN(1,'Core_Nativ'!M7/'Core_Nativ'!P7))*'Core_Nativ'!O13,"""")),""""))",AI6,4.611111111111111,0.00
Motor_Meciuri,5,AJ,Effective_H_R_For,AJ6:AJ105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R8=""CLOSED"",'Core_Nativ'!S8=0),IF('Core_Nativ'!M8>='Core_Nativ'!P8,'Core_Nativ'!N8,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T14=""DERIVED"",'Core_Nativ'!M14>='Core_Nativ'!P8),MIN(1,'Core_Nativ'!M8/'Core_Nativ'!P8)*IF('Core_Nativ'!M8=0,0,'Core_Nativ'!N8)+(1-MIN(1,'Core_Nativ'!M8/'Core_Nativ'!P8))*'Core_Nativ'!N14,"""")),""""))",AJ6,7.2,0.00
Motor_Meciuri,5,AK,Effective_H_R_Against,AK6:AK105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R8=""CLOSED"",'Core_Nativ'!S8=0),IF('Core_Nativ'!M8>='Core_Nativ'!P8,'Core_Nativ'!O8,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T14=""DERIVED"",'Core_Nativ'!M14>='Core_Nativ'!P8),MIN(1,'Core_Nativ'!M8/'Core_Nativ'!P8)*IF('Core_Nativ'!M8=0,0,'Core_Nativ'!O8)+(1-MIN(1,'Core_Nativ'!M8/'Core_Nativ'!P8))*'Core_Nativ'!O14,"""")),""""))",AK6,4.4,0.00
Motor_Meciuri,5,AL,Effective_A_S_For,AL6:AL105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R9=""CLOSED"",'Core_Nativ'!S9=0),IF('Core_Nativ'!M9>='Core_Nativ'!P9,'Core_Nativ'!N9,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T15=""DERIVED"",'Core_Nativ'!M15>='Core_Nativ'!P9),MIN(1,'Core_Nativ'!M9/'Core_Nativ'!P9)*IF('Core_Nativ'!M9=0,0,'Core_Nativ'!N9)+(1-MIN(1,'Core_Nativ'!M9/'Core_Nativ'!P9))*'Core_Nativ'!N15,"""")),""""))",AL6,4.837837837837838,0.00
Motor_Meciuri,5,AM,Effective_A_S_Against,AM6:AM105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R9=""CLOSED"",'Core_Nativ'!S9=0),IF('Core_Nativ'!M9>='Core_Nativ'!P9,'Core_Nativ'!O9,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T15=""DERIVED"",'Core_Nativ'!M15>='Core_Nativ'!P9),MIN(1,'Core_Nativ'!M9/'Core_Nativ'!P9)*IF('Core_Nativ'!M9=0,0,'Core_Nativ'!O9)+(1-MIN(1,'Core_Nativ'!M9/'Core_Nativ'!P9))*'Core_Nativ'!O15,"""")),""""))",AM6,5.027027027027027,0.00
Motor_Meciuri,5,AN,Effective_A_HA_For,AN6:AN105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R10=""CLOSED"",'Core_Nativ'!S10=0),IF('Core_Nativ'!M10>='Core_Nativ'!P10,'Core_Nativ'!N10,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T16=""DERIVED"",'Core_Nativ'!M16>='Core_Nativ'!P10),MIN(1,'Core_Nativ'!M10/'Core_Nativ'!P10)*IF('Core_Nativ'!M10=0,0,'Core_Nativ'!N10)+(1-MIN(1,'Core_Nativ'!M10/'Core_Nativ'!P10))*'Core_Nativ'!N16,"""")),""""))",AN6,4.388888888888889,0.00
Motor_Meciuri,5,AO,Effective_A_HA_Against,AO6:AO105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R10=""CLOSED"",'Core_Nativ'!S10=0),IF('Core_Nativ'!M10>='Core_Nativ'!P10,'Core_Nativ'!O10,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T16=""DERIVED"",'Core_Nativ'!M16>='Core_Nativ'!P10),MIN(1,'Core_Nativ'!M10/'Core_Nativ'!P10)*IF('Core_Nativ'!M10=0,0,'Core_Nativ'!O10)+(1-MIN(1,'Core_Nativ'!M10/'Core_Nativ'!P10))*'Core_Nativ'!O16,"""")),""""))",AO6,5.611111111111111,0.00
Motor_Meciuri,5,AP,Effective_A_R_For,AP6:AP105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R11=""CLOSED"",'Core_Nativ'!S11=0),IF('Core_Nativ'!M11>='Core_Nativ'!P11,'Core_Nativ'!N11,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T17=""DERIVED"",'Core_Nativ'!M17>='Core_Nativ'!P11),MIN(1,'Core_Nativ'!M11/'Core_Nativ'!P11)*IF('Core_Nativ'!M11=0,0,'Core_Nativ'!N11)+(1-MIN(1,'Core_Nativ'!M11/'Core_Nativ'!P11))*'Core_Nativ'!N17,"""")),""""))",AP6,5.2,0.00
Motor_Meciuri,5,AQ,Effective_A_R_Against,AQ6:AQ105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND('Core_Nativ'!R11=""CLOSED"",'Core_Nativ'!S11=0),IF('Core_Nativ'!M11>='Core_Nativ'!P11,'Core_Nativ'!O11,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,'Core_Nativ'!T17=""DERIVED"",'Core_Nativ'!M17>='Core_Nativ'!P11),MIN(1,'Core_Nativ'!M11/'Core_Nativ'!P11)*IF('Core_Nativ'!M11=0,0,'Core_Nativ'!O11)+(1-MIN(1,'Core_Nativ'!M11/'Core_Nativ'!P11))*'Core_Nativ'!O17,"""")),""""))",AQ6,6,0.00
Motor_Meciuri,5,AR,N_Dispersion,AR6:AR105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""","""",SUMPRODUCT(('Istoric_Nativ'!$B$6:$B$405=B6)*('Istoric_Nativ'!$C$6:$C$405=BL6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT(G6))*((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!D6)+('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!E6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)))",AR6,73,0.00
Motor_Meciuri,5,AS,Mean_Total_History,AS6:AS105,Float,Rezultat formulă,100,0,"=IF(AR6=0,"""",SUMPRODUCT(('Istoric_Nativ'!$B$6:$B$405=B6)*('Istoric_Nativ'!$C$6:$C$405=BL6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT(G6))*((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!D6)+('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!E6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)*'Istoric_Nativ'!$Q$6:$Q$405)/AR6)",AS6,9.904109589041095,0.00
Motor_Meciuri,5,AT,Variance_Total_History,AT6:AT105,Float,Rezultat formulă,100,0,"=IF(AR6<2,"""",MAX(0,(SUMPRODUCT(('Istoric_Nativ'!$B$6:$B$405=B6)*('Istoric_Nativ'!$C$6:$C$405=BL6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT(G6))*((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!D6)+('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!E6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)*'Istoric_Nativ'!$R$6:$R$405)-AR6*AS6^2)/(AR6-1)))",AT6,8.92123287671235,0.00
Motor_Meciuri,5,AU,D,AU6:AU105,Float,Rezultat formulă,100,0,"=IF(I6<>""PASS"","""",AT6/AS6)",AU6,0.9007607192254518,0.00
Motor_Meciuri,5,AV,Distribution,AV6:AV105,Text,Rezultat formulă,100,0,"=IF(I6<>""PASS"","""",IF(AU6<='Config_v6'!$B$10,""POISSON"",""NEGATIVE BINOMIAL""))",AV6,POISSON,0.00
Motor_Meciuri,5,AW,NB_Size,AW6:AW105,Float,Rezultat formulă,100,0,"=IF(I6<>""PASS"","""",IF(AV6=""POISSON"",9999,AS6/(AU6-1)))",AW6,9999,0.00
Motor_Meciuri,5,AX,Soft_H,AX6:AX105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",MAX(1-'Config_v6'!$B$20,MIN(1+'Config_v6'!$B$20,1+0.02*(IF(AND(ISNUMBER('Input_Meci'!N6),'Input_Meci'!N6>=0,'Input_Meci'!N6<=200),'Input_Meci'!N6,12)/12-1)+0.02*(IF(AND(ISNUMBER('Input_Meci'!P6),'Input_Meci'!P6>=0,'Input_Meci'!P6<=200),'Input_Meci'!P6,3.5)/3.5-1)+0.02*(IF(AND(ISNUMBER('Input_Meci'!R6),'Input_Meci'!R6>=0,'Input_Meci'!R6<=200),'Input_Meci'!R6,18)/18-1)+0.02*((IF(AND(ISNUMBER('Input_Meci'!V6),'Input_Meci'!V6>=0,'Input_Meci'!V6<=10),'Input_Meci'!V6,5)-5)/5))))",AX6,1,0.00
Motor_Meciuri,5,AY,Soft_A,AY6:AY105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",MAX(1-'Config_v6'!$B$20,MIN(1+'Config_v6'!$B$20,1+0.02*(IF(AND(ISNUMBER('Input_Meci'!O6),'Input_Meci'!O6>=0,'Input_Meci'!O6<=200),'Input_Meci'!O6,12)/12-1)+0.02*(IF(AND(ISNUMBER('Input_Meci'!Q6),'Input_Meci'!Q6>=0,'Input_Meci'!Q6<=200),'Input_Meci'!Q6,3.5)/3.5-1)+0.02*(IF(AND(ISNUMBER('Input_Meci'!S6),'Input_Meci'!S6>=0,'Input_Meci'!S6<=200),'Input_Meci'!S6,18)/18-1)+0.02*((IF(AND(ISNUMBER('Input_Meci'!W6),'Input_Meci'!W6>=0,'Input_Meci'!W6<=10),'Input_Meci'!W6,5)-5)/5))))",AY6,1,0.00
Motor_Meciuri,5,AZ,Context_H,AZ6:AZ105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",MAX(1-'Config_v6'!$B$21,MIN(1+'Config_v6'!$B$21,1+0.012*(IF('Input_Meci'!X6="""",5,IF(ISNUMBER('Input_Meci'!X6),'Input_Meci'!X6,5))-5)+0.018*(IF('Input_Meci'!Z6="""",5,IF(ISNUMBER('Input_Meci'!Z6),'Input_Meci'!Z6,5))-5)+0.012*(IF('Input_Meci'!AB6="""",5,IF(ISNUMBER('Input_Meci'!AB6),'Input_Meci'!AB6,5))-5)+0.015*IF('Input_Meci'!AD6="""",0,IF(ISNUMBER('Input_Meci'!AD6),'Input_Meci'!AD6,0))+0.02*IF('Input_Meci'!AF6="""",0,IF(ISNUMBER('Input_Meci'!AF6),'Input_Meci'!AF6,0)))))",AZ6,1,0.00
Motor_Meciuri,5,BA,Context_A,BA6:BA105,Float,Rezultat formulă,100,0,"=IF(A6="""","""",MAX(1-'Config_v6'!$B$21,MIN(1+'Config_v6'!$B$21,1+0.012*(IF('Input_Meci'!Y6="""",5,IF(ISNUMBER('Input_Meci'!Y6),'Input_Meci'!Y6,5))-5)+0.018*(IF('Input_Meci'!AA6="""",5,IF(ISNUMBER('Input_Meci'!AA6),'Input_Meci'!AA6,5))-5)+0.012*(IF('Input_Meci'!AC6="""",5,IF(ISNUMBER('Input_Meci'!AC6),'Input_Meci'!AC6,5))-5)+0.015*IF('Input_Meci'!AE6="""",0,IF(ISNUMBER('Input_Meci'!AE6),'Input_Meci'!AE6,0))+0.02*IF('Input_Meci'!AG6="""",0,IF(ISNUMBER('Input_Meci'!AG6),'Input_Meci'!AG6,0)))))",BA6,1,0.00
Motor_Meciuri,5,BB,Lambda_H,BB6:BB105,Float,Rezultat formulă,100,0,"=IF(I6<>""PASS"","""",(AVERAGE(AF6,AM6)*'Config_v6'!$B$4+AVERAGE(AH6,AO6)*'Config_v6'!$B$5+AVERAGE(AJ6,AQ6)*'Config_v6'!$B$6)*AX6*AZ6)",BB6,5.591554054054054,0.00
Motor_Meciuri,5,BC,Lambda_A,BC6:BC105,Float,Rezultat formulă,100,0,"=IF(I6<>""PASS"","""",(AVERAGE(AL6,AG6)*'Config_v6'!$B$4+AVERAGE(AN6,AI6)*'Config_v6'!$B$5+AVERAGE(AP6,AK6)*'Config_v6'!$B$6)*AY6*BA6)",BC6,4.680405405405406,0.00
Motor_Meciuri,5,BD,Mu,BD6:BD105,Float,Rezultat formulă,100,0,"=IF(I6<>""PASS"","""",BB6+BC6)",BD6,10.27195945945946,0.00
Motor_Meciuri,5,BE,Soft_Missing,BE6:BE105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""","""",10-SUM(IF(AND(ISNUMBER('Input_Meci'!N6),'Input_Meci'!N6>=0,'Input_Meci'!N6<=200),1,0),IF(AND(ISNUMBER('Input_Meci'!O6),'Input_Meci'!O6>=0,'Input_Meci'!O6<=200),1,0),IF(AND(ISNUMBER('Input_Meci'!P6),'Input_Meci'!P6>=0,'Input_Meci'!P6<=200),1,0),IF(AND(ISNUMBER('Input_Meci'!Q6),'Input_Meci'!Q6>=0,'Input_Meci'!Q6<=200),1,0),IF(AND(ISNUMBER('Input_Meci'!R6),'Input_Meci'!R6>=0,'Input_Meci'!R6<=200),1,0),IF(AND(ISNUMBER('Input_Meci'!S6),'Input_Meci'!S6>=0,'Input_Meci'!S6<=200),1,0),IF(AND(ISNUMBER('Input_Meci'!T6),'Input_Meci'!T6>=0,'Input_Meci'!T6<=100),1,0),IF(AND(ISNUMBER('Input_Meci'!U6),'Input_Meci'!U6>=0,'Input_Meci'!U6<=100),1,0),IF(AND(ISNUMBER('Input_Meci'!V6),'Input_Meci'!V6>=0,'Input_Meci'!V6<=10),1,0),IF(AND(ISNUMBER('Input_Meci'!W6),'Input_Meci'!W6>=0,'Input_Meci'!W6<=10),1,0)))",BE6,10,0.00
Motor_Meciuri,5,BF,Confidence_Base,BF6:BF105,Număr întreg,Rezultat formulă,100,0,"=IF(I6<>""PASS"","""",MAX(0,MIN(IF(OR(M6=""YES"",BL6<>C6),'Config_v6'!$B$34,100),ROUND(40+25*MIN(1,MIN(N6,Q6)/'Config_v6'!$B$7)*MIN(1,MIN(O6,R6)/'Config_v6'!$B$8)*MIN(1,MIN(P6,S6)/'Config_v6'!$B$9)+MAX(0,15-2*ABS(AF6-AJ6)-2*ABS(AL6-AP6))+IF(AU6<='Config_v6'!$B$10,15,IF(AU6<='Config_v6'!$B$11,13,IF(AU6<='Config_v6'!$B$12,10,IF(AU6<='Config_v6'!$B$13,6,0))))+5-BE6/10*'Config_v6'!$B$38,0))))",BF6,90,0.00
Motor_Meciuri,5,BG,Calibration_Strength,BG6:BG105,Float,Rezultat formulă,100,0,"=IF(I6<>""PASS"","""",MIN(1,'Config_v6'!$B$14*(0.7+0.3*MIN(1,AR6/'Config_v6'!$B$15))*IF(AU6<='Config_v6'!$B$10,1,IF(AU6<='Config_v6'!$B$11,0.95,IF(AU6<='Config_v6'!$B$12,0.88,0.78)))*(0.75+0.25*BF6/100)))",BG6,0.7995,0.00
Motor_Meciuri,5,BH,Sensitivity,BH6:BH105,Float,Rezultat formulă,100,0,"=IF(I6<>""PASS"","""",MIN(1,(ABS(AZ6-1)+ABS(BA6-1))*3))",BH6,0,0.00
Motor_Meciuri,5,BI,Context_Valid,BI6:BI105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND(OR('Input_Meci'!X6="""",AND(ISNUMBER('Input_Meci'!X6),'Input_Meci'!X6>=0,'Input_Meci'!X6<=10)),OR('Input_Meci'!Y6="""",AND(ISNUMBER('Input_Meci'!Y6),'Input_Meci'!Y6>=0,'Input_Meci'!Y6<=10)),OR('Input_Meci'!Z6="""",AND(ISNUMBER('Input_Meci'!Z6),'Input_Meci'!Z6>=0,'Input_Meci'!Z6<=10)),OR('Input_Meci'!AA6="""",AND(ISNUMBER('Input_Meci'!AA6),'Input_Meci'!AA6>=0,'Input_Meci'!AA6<=10)),OR('Input_Meci'!AB6="""",AND(ISNUMBER('Input_Meci'!AB6),'Input_Meci'!AB6>=0,'Input_Meci'!AB6<=10)),OR('Input_Meci'!AC6="""",AND(ISNUMBER('Input_Meci'!AC6),'Input_Meci'!AC6>=0,'Input_Meci'!AC6<=10)),OR('Input_Meci'!AD6="""",AND(ISNUMBER('Input_Meci'!AD6),'Input_Meci'!AD6>=-2,'Input_Meci'!AD6<=2)),OR('Input_Meci'!AE6="""",AND(ISNUMBER('Input_Meci'!AE6),'Input_Meci'!AE6>=-2,'Input_Meci'!AE6<=2)),OR('Input_Meci'!AF6="""",AND(ISNUMBER('Input_Meci'!AF6),'Input_Meci'!AF6>=-2,'Input_Meci'!AF6<=2)),OR('Input_Meci'!AG6="""",AND(ISNUMBER('Input_Meci'!AG6),'Input_Meci'!AG6>=-2,'Input_Meci'!AG6<=2))),""VALID"",""INVALID""))",BI6,VALID,General
Motor_Meciuri,5,BJ,Source_Problems,BJ6:BJ105,Număr întreg,Rezultat formulă,100,0,"=IF(A6="""",0,SUM('Core_Nativ'!S6:S11))",BJ6,0,General
Motor_Meciuri,5,BK,Config_Valid,BK6:BK105,Text,Rezultat formulă,100,0,='Config_v6'!$B$40,BK6,VALID,General
Motor_Meciuri,5,BL,Dispersion_Season,BL6:BL105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",IF(SUMPRODUCT(('Istoric_Nativ'!$B$6:$B$405=B6)*('Istoric_Nativ'!$C$6:$C$405=C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT(G6))*((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!D6)+('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!E6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0))>='Config_v6'!$B$41,C6,IF(AND('Input_Meci'!L6=""YES"",'Input_Meci'!K6<>"""",'Input_Meci'!K6<C6,COUNTIF('Core_Nativ'!R12:R17,""CLOSED"")=6,SUM('Core_Nativ'!S12:S17)=0),'Input_Meci'!K6,C6)))",BL6,2025/26,General
Motor_Meciuri,5,BM,H_L10_From,BM6:BM105,Dată UTC / serial Excel; unele formule pot întoarce 0,Rezultat formulă,100,0,"=IF(OR(A6="""",N6=0),0,LARGE(_xlfn._xlws.FILTER('Istoric_Nativ'!$D$6:$D$405,('Istoric_Nativ'!$B$6:$B$405=B6)*('Istoric_Nativ'!$C$6:$C$405=C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT(G6))*((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!D6))>0)),MIN(10,N6)))",BM6,2026-03-01T00:00:00,yyyy-mm-dd hh:mm
Motor_Meciuri,5,BN,A_L10_From,BN6:BN105,Dată UTC / serial Excel; unele formule pot întoarce 0,Rezultat formulă,100,0,"=IF(OR(A6="""",Q6=0),0,LARGE(_xlfn._xlws.FILTER('Istoric_Nativ'!$D$6:$D$405,('Istoric_Nativ'!$B$6:$B$405=B6)*('Istoric_Nativ'!$C$6:$C$405=C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT(G6))*((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!E6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)),MIN(10,Q6)))",BN6,2026-03-01T00:00:00,yyyy-mm-dd hh:mm
Motor_Meciuri,5,BO,H_L20_From,BO6:BO105,Dată UTC / serial Excel; unele formule pot întoarce 0,Rezultat formulă,100,0,"=IF(OR(A6="""",N6=0),0,LARGE(_xlfn._xlws.FILTER('Istoric_Nativ'!$D$6:$D$405,('Istoric_Nativ'!$B$6:$B$405=B6)*('Istoric_Nativ'!$C$6:$C$405=C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT(G6))*((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!D6))>0)),MIN(20,N6)))",BO6,2025-12-27T00:00:00,yyyy-mm-dd hh:mm
Motor_Meciuri,5,BP,A_L20_From,BP6:BP105,Dată UTC / serial Excel; unele formule pot întoarce 0,Rezultat formulă,100,0,"=IF(OR(A6="""",Q6=0),0,LARGE(_xlfn._xlws.FILTER('Istoric_Nativ'!$D$6:$D$405,('Istoric_Nativ'!$B$6:$B$405=B6)*('Istoric_Nativ'!$C$6:$C$405=C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT(G6))*((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!E6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)),MIN(20,Q6)))",BP6,2025-12-26T00:00:00,yyyy-mm-dd hh:mm
Motor_Meciuri,5,BQ,Metadata_Valid,BQ6:BQ105,Text,Rezultat formulă,100,0,"=IF(A6="""","""",IF(AND(COUNTIF(MatchesTable[Match_ID],A6)=1,COUNTIFS(MatchesTable[League],B6,MatchesTable[Season],C6,MatchesTable[Home],'Input_Meci'!D6,MatchesTable[Away],'Input_Meci'!E6,MatchesTable[Kickoff_UTC],F6)=1,B6<>"""",C6<>"""",'Input_Meci'!D6<>"""",'Input_Meci'!E6<>"""",'Input_Meci'!D6<>'Input_Meci'!E6,ISNUMBER(F6),ISNUMBER(G6),G6<F6,OR(E6=""LIVE"",E6=""REPLAY""),OR('Input_Meci'!L6=""YES"",'Input_Meci'!L6=""NO"",'Input_Meci'!L6="""")),""VALID"",""INVALID""))",BQ6,VALID,General
Motor_Meciuri,5,BR,N_Emp_HA,BR6:BR105,Număr întreg,Rezultat formulă,100,0,"=IF(I6<>""PASS"",0,SUMPRODUCT(('Istoric_Nativ'!$B$6:$B$405='Input_Meci'!B6)*('Istoric_Nativ'!$C$6:$C$405='Input_Meci'!C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT('Input_Meci'!G6))*((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)))",BR6,36,General
Motor_Meciuri,5,BS,N_Emp_L10,BS6:BS105,Număr întreg,Rezultat formulă,100,0,"=IF(I6<>""PASS"",0,SUMPRODUCT(('Istoric_Nativ'!$B$6:$B$405='Input_Meci'!B6)*('Istoric_Nativ'!$C$6:$C$405='Input_Meci'!C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT('Input_Meci'!G6))*((((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!D6))>0)*('Istoric_Nativ'!$D$6:$D$405>=BM6)+((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!E6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)*('Istoric_Nativ'!$D$6:$D$405>=BN6))>0)))",BS6,20,General
Motor_Meciuri,5,BT,N_Emp_L20,BT6:BT105,Număr întreg,Rezultat formulă,100,0,"=IF(I6<>""PASS"",0,SUMPRODUCT(('Istoric_Nativ'!$B$6:$B$405='Input_Meci'!B6)*('Istoric_Nativ'!$C$6:$C$405='Input_Meci'!C6)*('Istoric_Nativ'!$P$6:$P$405=1)*('Istoric_Nativ'!$D$6:$D$405<INT('Input_Meci'!G6))*((((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!D6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!D6))>0)*('Istoric_Nativ'!$D$6:$D$405>=BO6)+((('Istoric_Nativ'!$E$6:$E$405='Input_Meci'!E6)+('Istoric_Nativ'!$F$6:$F$405='Input_Meci'!E6))>0)*('Istoric_Nativ'!$D$6:$D$405>=BP6))>0)))",BT6,40,General
Core_Nativ,5,A,Slot,A6:A1205,Număr întreg,Input sau constantă literală,0,1200,,A6,1,General
Core_Nativ,5,B,Match_ID,B6:B1205,Text,Rezultat formulă,1200,0,"=IF('Input_Meci'!A6="""","""",'Input_Meci'!A6)",B6,REPLAY_1,General
Core_Nativ,5,C,Side,C6:C1205,Text,Input sau constantă literală,0,1200,,C6,H,General
Core_Nativ,5,D,Role,D6:D1205,Text,Input sau constantă literală,0,1200,,D6,CURRENT,General
Core_Nativ,5,E,League,E6:E1205,Text,Rezultat formulă,1200,0,"=IF(B6="""","""",'Input_Meci'!B6)",E6,E0,General
Core_Nativ,5,F,Season,F6:F1205,Text,Rezultat formulă,1200,0,"=IF(B6="""","""",IF('Input_Meci'!C6="""","""",'Input_Meci'!C6))",F6,2025/26,General
