source,case_id,selection,B,D,E,F,H,I,K,L,M,N,O,P,Q,T,U,X,Y,AA,AB,AC,AD,AE,AF
mock,90001,1X,0.7286713855999224,0.2713286144000776,0.025,0.7036713855999224,0.7294429708222813,-0.025771585222358895,PASS,54.0,3.0,MODERAT,PASS,PASS,N/A,0,PASS,0.27055702917771884,0.2713286144000776,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
mock,90001,X2,0.5175143095251398,0.48248569047486023,0.025,0.49251430952513975,0.5490716180371353,-0.056557308511995585,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.4509283819628648,0.48248569047486023,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
mock,90001,12,0.7538143048749378,0.24618569512506217,0.025,0.7288143048749378,0.7214854111405836,0.0073288937343541916,FAIL,100,5.0,NO BET,N/A,N/A,FAIL,0,FAIL,0.2785145888594165,0.2785145888594165,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
mock_small,90001,1X,0.7043281183906518,0.2956718816093483,0.045,0.6593281183906518,0.7294429708222813,-0.07011485243162952,PASS,62.0,4.0,RIDICAT,PASS,PASS,N/A,0,PASS,0.27055702917771884,0.2956718816093483,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
mock_small,90001,X2,0.5254208523833639,0.4745791476166361,0.045,0.4804208523833639,0.5490716180371353,-0.06865076565377143,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.4509283819628648,0.4745791476166361,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
mock_small,90001,12,0.7702510292259844,0.22974897077401563,0.045,0.7252510292259844,0.7214854111405836,0.003765618085400768,FAIL,100,5.0,NO BET,N/A,N/A,FAIL,0,FAIL,0.2785145888594165,0.2785145888594165,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
mock,90002,1X,0.813495103178712,0.18650489682128807,0.025,0.788495103178712,0.8366783743100853,-0.04818327113137333,PASS,39.0,2.0,PRUDENT,PASS,PASS,N/A,0,PASS,0.1633216256899147,0.18650489682128807,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
mock,90002,X2,0.4050237989945975,0.5949762010054025,0.025,0.3800237989945975,0.388861013547416,-0.008837214552818495,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.611138986452584,0.611138986452584,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
mock,90002,12,0.7814810978266906,0.21851890217330946,0.025,0.7564810978266906,0.7744606121424987,-0.01797951431580813,WATCH,83.0,5.0,WATCH,N/A,N/A,WATCH,0,WATCH,0.22553938785750124,0.22553938785750124,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
mock_small,90002,1X,0.7424124653944069,0.25758753460559325,0.045,0.6974124653944068,0.8366783743100853,-0.13926590891567847,PASS,55.0,3.0,MODERAT,PASS,PASS,N/A,0,PASS,0.1633216256899147,0.25758753460559325,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
mock_small,90002,X2,0.4727989413054077,0.5272010586945923,0.045,0.42779894130540774,0.388861013547416,0.038937927757991764,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.611138986452584,0.611138986452584,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
mock_small,90002,12,0.7847885933001856,0.21521140669981448,0.045,0.7397885933001855,0.7744606121424987,-0.03467201884231319,FAIL,100,5.0,NO BET,N/A,N/A,FAIL,0,FAIL,0.22553938785750124,0.22553938785750124,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
mock,90003,1X,0.855036178101634,0.14496382189836607,0.025,0.830036178101634,0.8659217877094973,-0.035885609607863356,PASS,31.0,2.0,PRUDENT,PASS,PASS,N/A,0,PASS,0.1340782122905028,0.14496382189836607,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
mock,90003,X2,0.34556186441453096,0.654438135585469,0.025,0.32056186441453094,0.3296089385474861,-0.009047074132955135,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.670391061452514,0.670391061452514,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
mock,90003,12,0.7994019574838351,0.20059804251616492,0.025,0.7744019574838351,0.8044692737430168,-0.030067316259181687,PRUDENT,53.0,3.0,MODERAT,N/A,N/A,PRUDENT,0,PRUDENT,0.19553072625698326,0.20059804251616492,YES,N/A,0,READY,NO,FĂRĂ ISTORIC
mock_small,90003,1X,0.7692645317876176,0.23073546821238256,0.045,0.7242645317876175,0.8659217877094973,-0.14165725592187983,PASS,51.0,3.0,MODERAT,PASS,PASS,N/A,0,PASS,0.1340782122905028,0.23073546821238256,YES,N/A,0.0,READY,NO,FĂRĂ ISTORIC
mock_small,90003,X2,0.4314286063716617,0.5685713936283384,0.045,0.3864286063716617,0.3296089385474861,0.056819667824175635,FAIL,100,5.0,NO BET,FAIL,FAIL,N/A,0.0,FAIL,0.670391061452514,0.670391061452514,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
mock_small,90003,12,0.799306861840721,0.20069313815927914,0.045,0.7543068618407209,0.8044692737430168,-0.05016241190229587,WATCH,81.0,5.0,WATCH,N/A,N/A,WATCH,0,WATCH,0.19553072625698326,0.20069313815927914,NO,N/A,0,READY,NO,FĂRĂ ISTORIC
